asset_uuid,label,manifest_uri,iiif_image_uri
x2PEQ9LCWQQcKVrUWl9FezMv,Militaire illustratie: schipbrug,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/x2PEQ9LCWQQcKVrUWl9FezMv.json,https://dams1.antwerpen.be/iiif/x2PEQ9LCWQQcKVrUWl9FezMv/full/full/0/default.jpg
c1PSsDgPEIaiFR5nbJ0eRVoH,Gevlekte orchis [Dactylorhiza maculata subsp. maculata],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/c1PSsDgPEIaiFR5nbJ0eRVoH.json,https://dams1.antwerpen.be/iiif/c1PSsDgPEIaiFR5nbJ0eRVoH/full/full/0/default.jpg
sMHNZZKqTIKpLWQjB0xBVPnm,"Sierinitiaal K, lettre cadeau (20 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/sMHNZZKqTIKpLWQjB0xBVPnm.json,https://dams1.antwerpen.be/iiif/sMHNZZKqTIKpLWQjB0xBVPnm/full/full/0/default.jpg
e1YSZTAeM8SURTArXeNpOEwr,"Sierinitiaal S, romein (42 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/e1YSZTAeM8SURTArXeNpOEwr.json,https://dams1.antwerpen.be/iiif/e1YSZTAeM8SURTArXeNpOEwr/full/full/0/default.jpg
a1MiDdXeVYWcePb5Vf8fcpEh,MPM_HB_02525_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/a1MiDdXeVYWcePb5Vf8fcpEh.json,https://dams1.antwerpen.be/iiif/a1MiDdXeVYWcePb5Vf8fcpEh/full/full/0/default.jpg
V1aqhbWPfalKE6PZgiKCkSRN,Bloedkoraal [Corallium rubrum],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/V1aqhbWPfalKE6PZgiKCkSRN.json,https://dams1.antwerpen.be/iiif/V1aqhbWPfalKE6PZgiKCkSRN/full/full/0/default.jpg
wVnmIblcXdSopLHGD9NzQk88,Bosanemoon [Anemone nemorosa],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/wVnmIblcXdSopLHGD9NzQk88.json,https://dams1.antwerpen.be/iiif/wVnmIblcXdSopLHGD9NzQk88/full/full/0/default.jpg
a1FMH8BSNRWLENhgUhw5beZe,MPM_HB_08374_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/a1FMH8BSNRWLENhgUhw5beZe.json,https://dams1.antwerpen.be/iiif/a1FMH8BSNRWLENhgUhw5beZe/full/full/0/default.jpg
Obrrp8oNRdIORgcCDSCa0s5N,"Portret van keizer Numerianus, die regeerde 283-284 (toonblok)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Obrrp8oNRdIORgcCDSCa0s5N.json,https://dams1.antwerpen.be/iiif/Obrrp8oNRdIORgcCDSCa0s5N/full/full/0/default.jpg
uXqU9ghJFifvm9Pis5pj7Sms,"Emblematische voorstelling: Inter eclipses exorior [Ick com op, tusschen twee Eclips]",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/uXqU9ghJFifvm9Pis5pj7Sms.json,https://dams1.antwerpen.be/iiif/uXqU9ghJFifvm9Pis5pj7Sms/full/full/0/default.jpg
dsjXJZiDaVcQYRZSitdeaw2Z,Een dode verrijst bij het aanraken van het gebeente van de profeet Eliseus,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/dsjXJZiDaVcQYRZSitdeaw2Z.json,https://dams1.antwerpen.be/iiif/dsjXJZiDaVcQYRZSitdeaw2Z/full/full/0/default.jpg
y2cSAKdNjc2fgVmjaGJq6nNu,Diagram geometrische optica (p. 328 onderaan) met een decoratief bloemmotief,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/y2cSAKdNjc2fgVmjaGJq6nNu.json,https://dams1.antwerpen.be/iiif/y2cSAKdNjc2fgVmjaGJq6nNu/full/full/0/default.jpg
